pris,mil,ar,hk,cc,bransle,vaxellada,drivning,datum_i_trafik,marke,modell,biltyp,saljare,farg,alder,log_pris,log_mil
42000,23892,2004,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Vit,21,10.645424897265505,10.081298953852196
11000,28863,1997,170,2435,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,S70,Sedan,Privat,Röd,28,9.305650551780507,10.270315777029374
279800,13560,2018,262,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,S90,Sedan,Företag,Grå,7,12.541830341213517,9.514879561494386
144900,10555,2015,120,1596,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Silver,10,11.883799128308773,9.264354960282422
277000,10770,2019,310,1969,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,6,12.531772785169476,9.284519770150434
262000,7589,2019,214,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Svart,6,12.476099782743233,8.934455109403913
329900,8998,2020,251,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC60,SUV,Företag,Svart,5,12.706544857216672,9.104757609401117
373000,2606,2023,200,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Grå,2,12.829333698625952,7.8655717576847906
299500,4841,2021,131,1477,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,4,12.609869696537642,8.484876589939695
39900,26999,2005,221,2521,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,V50,Kombi,Företag,Svart,20,10.594131602877955,10.203555107263542
25000,43657,1989,116,2316,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,740,Sedan,Privat,Grå,36,10.126631103850338,10.684118914962527
6000,27027,1993,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,850,Sedan,Privat,Röd,32,8.699514748210191,10.20459164531955
14900,25000,2005,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S40,Sedan,Företag,Svart,20,9.60911649193355,10.126631103850338
17000,23285,2003,200,2435,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,S80,Sedan,Privat,Grå,22,9.740968623038354,10.055564655416477
265900,10350,2020,191,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Mörkgrå (Grå),5,12.490875577231112,9.244741798693514
329800,13601,2019,253,1969,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,V90 Cross Country,SUV,Företag,Mörkblå (Blå),6,12.706241689107635,9.517898598432753
269000,6228,2018,192,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,S90,Sedan,Företag,Grå,7,12.502466658583977,8.73681053295389
609000,0,2024,253,1969,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,V90 Cross Country,SUV,Företag,Silver,1,13.319573546692034,NA
259000,9985,2019,192,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå,6,12.464583340681674,9.208839245849916
289000,9400,2019,191,1969,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,XC40,SUV,Företag,Grå (Osmium Grå Metallic ),6,12.57418196709457,9.148464968258095
28900,20798,2004,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Ljusgrå (Grå),21,10.271596874100524,9.942612107220178
15000,22521,2004,164,1948,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Kombi,Privat,Grå,21,9.615805480084347,10.022203486241112
227300,15837,2018,255,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Svart,7,12.334026009840635,9.670104253491726
119900,15839,2015,120,1596,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Vit,10,11.694413341015606,9.670230532062421
334900,5062,2020,253,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,5,12.721587258782296,8.529516941105069
319900,4960,2021,200,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,4,12.675763725937609,8.509161019718974
344900,3100,2021,131,1477,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Röd,4,12.751009798924933,8.039157390473237
29900,27800,2004,164,1948,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Kombi,Företag,Blå,21,10.305613759378778,10.232791299678729
39900,22890,2003,123,NA,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S40,Sedan,Företag,Silver,22,10.594131602877955,10.038455412946613
40000,28400,2008,170,2435,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Grå,17,10.596634733096073,10.254144424149297
129800,15000,2014,150,1596,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Blå,11,11.773750083252127,9.615805480084347
29900,26000,2001,141,NA,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Mörkgrön (Grön),24,10.305613759378778,10.165851817003619
42900,23750,2004,170,2435,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Företag,Blå,21,10.666627104916108,10.075337809462788
269800,13559,2018,255,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,S90,Sedan,Företag,Svart (Onyx Svart Metallic),7,12.505436222755792,9.51480581246231
29000,23330,2004,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S40,Sedan,Företag,Ljusgrön (Ljusgul Metallic),21,10.275051108968611,10.057495365015475
509900,6544,2020,251,1969,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Vit,5,13.141969907043247,8.786303878282583
319000,10750,2018,255,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,S90,Sedan,Företag,Silver,7,12.672946381766982,9.28266103355581
5000,41135,2003,141,2435,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Vit,22,8.517193191416238,10.624614619603031
284000,3449,2021,131,1477,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,4,12.556729517143344,8.145839612936841
24900,31135,2007,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Ljusgrå (Grå),18,10.1226230824528,10.346087867306553
21500,20700,2004,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Privat,Röd,21,9.975808214115753,9.93788897925346
230000,20938,2018,255,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Svart,7,12.345834587905333,9.9493209688793
32000,31919,2002,200,2435,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,XC70,Kombi,Privat,Blå,23,10.373491181781864,10.3709567227522
2000,30894,2002,200,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Grå,23,7.600902459542082,10.338317269274196
275000,5687,2021,130,1477,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Vit,4,12.524526376648708,8.645938147306799
350000,7268,2021,253,1969,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Mörkblå (Mblå),4,12.765688433465597,8.891236429516061
149800,14603,2013,241,1999,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Svart,12,11.917056350065256,9.588982266040471
27900,24354,2006,126,1798,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Privat,Vit,19,10.236381967809457,10.100451386066952
16999,20844,2001,109,1587,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S40,Sedan,Privat,Brun,24,9.74090979777877,9.944821416029106
429800,8830,2021,304,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Svart,4,12.971075263190547,9.085910293598007
499000,9288,2021,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Grå,4,13.120361374733656,9.136478523377727
599900,5983,2021,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Svart,4,13.304518253641184,8.696677393390031
389900,11267,2020,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,5,12.87364557497069,9.329633378164166
355000,8176,2020,398,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,5,12.779873068457553,9.008958312443486
689900,2,2023,463,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,S90,Sedan,Företag,Svart,2,13.4443019385342,0.6931471805599453
359900,8269,2021,266,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,4,12.793581494067123,9.020268861722167
409000,8318,2021,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Ljusbrun (Brun),4,12.921470435024938,9.026177120302856
329000,8045,2020,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Svart,5,12.70381302974751,8.992806059426483
589000,12845,2021,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Svart,4,13.286181462633724,9.460709909543985
679000,615,2024,404,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Svart,1,13.428376406540833,6.421622267806518
479900,3436,2022,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Grå,3,13.081333027846338,8.142063283104147
528900,2348,2022,342,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Mörkblå (Mblå),3,13.178554657054072,7.761319180947987
329900,15634,2021,253,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,4,12.706544857216672,9.657203308780275
339000,6557,2021,253,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,4,12.733755386362587,8.788288460263619
369900,5429,2020,253,2020,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Svart (Onyx Svart Metallic),5,12.820987977820545,8.599510233905452
39900,16108,2007,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Företag,Ljusgrå (Grå),18,10.594131602877955,9.687071321971345
429900,15100,2017,407,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Svart,8,12.971307902484373,9.622450022803015
199800,13290,2015,283,2400,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Blå,10,12.20507214519659,9.494767151707292
399900,9377,2018,408,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,7,12.89896979483491,9.146015161419625
429000,8008,2020,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Mörkgrå (Grå),5,12.969212197910155,8.988196320995057
389000,5036,2021,266,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Grå,4,12.871334622600584,8.524367395164237
444800,12582,2017,407,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Grå,8,13.00538002191851,9.440022500129976
499000,1356,2024,404,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå,1,13.120361374733656,7.212294468500341
429000,7000,2021,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,4,12.969212197910155,8.85366542803745
414900,8412,2020,391,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit (Pärlemor-Metallic Vit),5,12.93579280632096,9.03741453682259
424900,4459,2021,391,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Röd (Pärlemor-Metallic Röd),4,12.959609126102903,8.402679804627477
314900,15637,2019,392,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,6,12.660010407089116,9.65739517984351
459500,2051,2023,214,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Röd,2,13.03789422077788,7.62608275807238
369900,4504,2022,211,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,3,12.820987977820545,8.412721169819527
378800,8199,2020,392,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Svart,5,12.84476364029406,9.011767474596178
329900,7750,2021,211,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,4,12.706544857216672,8.955448122347393
469000,8712,2021,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Silver,4,13.058358047428417,9.072456664612796
464800,5839,2020,304,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,Kombi,Företag,Svart (Onyx Svart Metallic),5,13.049362484519838,8.672314828283538
35900,19123,2007,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Privat,Röd,18,10.48849257447637,9.858647078062974
399000,15200,2016,407,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Privat,Svart,9,12.896716695872,9.629050706834368
269000,11511,2020,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Silver,5,12.502466658583977,9.351058378915061
44900,16499,2008,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,C30,Halvkombi,Företag,Röd,17,10.712193073730345,9.711055051991444
348900,3687,2020,340,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Svart,5,12.762540627174866,8.212568398234145
639000,4600,2023,399,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Grå,2,13.367659733359671,8.433811582477187
369000,1880,2021,340,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Röd (Vinröd),4,12.818551923022664,7.539027055823995
39900,24000,2008,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Företag,Ljusblå (Blå),17,10.594131602877955,10.085809109330082
549000,2473,2022,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå,3,13.215853720491667,7.813187267521416
697800,0,2024,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,S60,Sedan,Företag,Silver,1,13.455687807734812,NA
29900,21285,2002,141,2435,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Röd,23,10.305613759378778,9.965757878262252
59800,35499,2009,200,2521,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Grå,16,10.998760939938723,10.477259806052668
89000,18931,2010,232,2521,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Grå,15,11.396391648714276,9.84855606900991
80000,18550,2009,146,1999,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Brun,16,11.289781913656018,9.82822506803558
27000,38240,2009,146,1999,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Grå,16,10.203592144986466,10.551637367165338
56000,39000,2015,214,1984,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Svart,10,10.933106969717286,10.571316925111784
